Alpha,Algorithm,Content_Type,Category,Mean_Delay,Std_Delay,Median_Delay,Min_Delay,Max_Delay,P95_Delay,Sample_Count
0.25,MAB_Contextual,satellite,I,1.5446652762260478,1.6108016317488605,0.001,0.001,3.22999,3.22806,6158
0.25,MAB_Contextual,satellite,II,0.00348184507479148,0.029136848290419317,0.001,0.001,0.349665,0.001,29014
0.25,MAB_Contextual,satellite,III,0.002875249962625206,0.006957769661270824,0.001,0.001,0.033036,0.027143199999999996,6689
0.25,MAB_Contextual,UAV,II,0.2071107069555302,0.13962062198834804,0.178143,0.001,0.349866,0.347951,2631
0.25,MAB_Contextual,UAV,III,0.016193911001942188,0.012086379894480087,0.018734,0.001,0.033123,0.0310864,8753
0.25,MAB_Contextual,UAV,IV,0.3945992889532079,0.27060991008853214,0.338007,0.001,0.669931,0.667913,2073
0.25,MAB_Contextual,grid,II,0.0010000000000000005,4.336808689942018e-19,0.001,0.001,0.001,0.001,5599
0.25,MAB_Contextual,grid,III,0.0010000000000000005,4.336808689942018e-19,0.001,0.001,0.001,0.001,3770
0.25,MAB_Contextual,grid,IV,0.0010000000000000002,2.168404344971009e-19,0.001,0.001,0.001,0.001,3204
0.5,MAB_Contextual,satellite,I,2.4114269157858845,1.4008350886664063,3.224506,0.001,3.229954,3.22842775,5866
0.5,MAB_Contextual,satellite,II,0.0029505443082189398,0.025856838732039124,0.001,0.001,0.349637,0.001,28629
0.5,MAB_Contextual,satellite,III,0.0031403508241342813,0.007408973723443235,0.001,0.001,0.033036,0.0277494,6613
0.5,MAB_Contextual,UAV,II,0.1948575626923077,0.14441746111445028,0.177825,0.001,0.349823,0.3479462,2600
0.5,MAB_Contextual,UAV,III,0.015958154048558788,0.012167802934242961,0.018651,0.001,0.033095,0.031052,8361
0.5,MAB_Contextual,UAV,IV,0.3797510306905371,0.27723269183037963,0.337977,0.001,0.669981,0.6680044,1955
0.5,MAB_Contextual,grid,II,0.0010000000000000002,2.168404344971009e-19,0.001,0.001,0.001,0.001,4764
0.5,MAB_Contextual,grid,III,0.0010000000000000005,4.336808689942018e-19,0.001,0.001,0.001,0.001,3422
0.5,MAB_Contextual,grid,IV,0.0010000000000000002,2.168404344971009e-19,0.001,0.001,0.001,0.001,2854
1.0,MAB_Contextual,satellite,I,1.628216257845796,1.6121555194383026,3.221531,0.001,3.229851,3.22810285,5162
1.0,MAB_Contextual,satellite,II,0.003156147925536356,0.02716447557322094,0.001,0.001,0.349578,0.001,23958
1.0,MAB_Contextual,satellite,III,0.002668008397225265,0.006585673968093336,0.001,0.001,0.033152,0.026464399999999996,5478
1.0,MAB_Contextual,UAV,II,0.1872105402242808,0.14299592077038756,0.177363,0.001,0.34966,0.3477575,2051
1.0,MAB_Contextual,UAV,III,0.012603090327846553,0.01222453873677438,0.001,0.001,0.033094,0.0306025,7351
1.0,MAB_Contextual,UAV,IV,0.32345061012956416,0.28547490057876296,0.336721,0.001,0.669817,0.6677576,1698
1.0,MAB_Contextual,grid,II,0.0010000000000000002,2.168404344971009e-19,0.001,0.001,0.001,0.001,5190
1.0,MAB_Contextual,grid,III,0.0010000000000000005,4.336808689942018e-19,0.001,0.001,0.001,0.001,3743
1.0,MAB_Contextual,grid,IV,0.0010000000000000002,2.168404344971009e-19,0.001,0.001,0.001,0.001,2980
