Alpha,Algorithm,Content_Type,Category,Mean_Delay,Std_Delay,Median_Delay,Min_Delay,Max_Delay,P95_Delay,Sample_Count,Run_ID
0.25,LRU,satellite,I,1.0487825883962778,1.5102199167620685,0.001,0.001,3.229773,3.227634,5481,20260416_232910
0.25,LRU,satellite,II,0.0507169723679982,0.1210708618724577,0.001,0.001,0.34995,0.3464795,28011,20260416_232910
0.25,LRU,satellite,III,0.0087577403453689,0.0125106076888202,0.001,0.001,0.033073,0.03077955,6370,20260416_232910
0.25,LRU,UAV,II,0.278523649372862,0.0826838710737241,0.3434245,0.001,0.349672,0.34826695,1754,20260416_232910
0.25,LRU,UAV,III,0.0242632687582687,0.0057479599635478,0.026432,0.001,0.033087,0.031498,5291,20260416_232910
0.25,LRU,UAV,IV,0.530736948275862,0.1625207118520844,0.6632495,0.001,0.66984,0.66808875,1392,20260416_232910
0.25,LRU,grid,II,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,5416,20260416_232910
0.25,LRU,grid,III,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,4046,20260416_232910
0.25,LRU,grid,IV,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,3335,20260416_232910
0.25,Popularity,satellite,I,2.2125043930940635,1.4967912639196936,3.224211,0.001,3.229967,3.2283891,5879,20260416_233214
0.25,Popularity,satellite,II,0.3217803496162927,0.087269145489937,0.3452895,0.001,0.349956,0.34862585,27104,20260416_233214
0.25,Popularity,satellite,III,0.0286780968869123,0.0020661951875064,0.028698,0.001,0.033188,0.0318685,6296,20260416_233214
0.25,Popularity,UAV,II,0.2704838494301139,0.0837459943995504,0.342886,0.174013,0.349767,0.3481081,1667,20260416_233214
0.25,Popularity,UAV,III,0.0237713370292887,0.005350530069233,0.025278,0.001,0.033068,0.03135725,4780,20260416_233214
0.25,Popularity,UAV,IV,0.5118017608000001,0.1639250988644691,0.6625369999999999,0.334177,0.669915,0.6681452,1250,20260416_233214
0.25,Popularity,grid,II,0.001,0.0,0.001,0.001,0.001,0.001,5140,20260416_233214
0.25,Popularity,grid,III,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,3797,20260416_233214
0.25,Popularity,grid,IV,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,3131,20260416_233214
0.25,MAB_Original,satellite,I,2.5622630381194407,1.303349902358662,3.224722,0.001,3.229921,3.22850375,6296,20260417_012754
0.25,MAB_Original,satellite,II,0.0541290639856227,0.1244240661632139,0.001,0.001,0.349922,0.346561,29491,20260417_012754
0.25,MAB_Original,satellite,III,0.0052109822721229,0.0099864807803699,0.001,0.001,0.033061,0.0298221999999999,6769,20260417_012754
0.25,MAB_Original,UAV,II,0.2632849227144203,0.0989156302978082,0.342885,0.001,0.349778,0.3481987,2122,20260417_012754
0.25,MAB_Original,UAV,III,0.0211753891402714,0.0096412787561403,0.0249805,0.001,0.033156,0.0312998,7072,20260417_012754
0.25,MAB_Original,UAV,IV,0.5216981503941783,0.1742103909369168,0.663106,0.001,0.669837,0.6682228,1649,20260417_012754
0.25,MAB_Original,grid,II,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,5853,20260417_012754
0.25,MAB_Original,grid,III,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,4026,20260417_012754
0.25,MAB_Original,grid,IV,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,3127,20260417_012754
0.25,MAB_Contextual,satellite,I,1.5349796220498988,1.6103542708436254,0.001,0.001,3.229805,3.2280499,5932,20260417_013106
0.25,MAB_Contextual,satellite,II,0.0036657457579875,0.0301933789818459,0.001,0.001,0.349979,0.001,28701,20260417_013106
0.25,MAB_Contextual,satellite,III,0.0026212224802601,0.0065275673989551,0.001,0.001,0.033011,0.0267630999999999,6459,20260417_013106
0.25,MAB_Contextual,UAV,II,0.1951888692679002,0.1418441865959538,0.1775945,0.001,0.349804,0.34766,2486,20260417_013106
0.25,MAB_Contextual,UAV,III,0.0153305853889943,0.0121369654757578,0.018379,0.001,0.033039,0.0309218,8432,20260417_013106
0.25,MAB_Contextual,UAV,IV,0.4130083897849462,0.2624405581442793,0.338571,0.001,0.669855,0.6680555499999999,1860,20260417_013106
0.25,MAB_Contextual,grid,II,0.001,0.0,0.001,0.001,0.001,0.001,4637,20260417_013106
0.25,MAB_Contextual,grid,III,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,3265,20260417_013106
0.25,MAB_Contextual,grid,IV,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,2770,20260417_013106
0.25,MAB_Contextual_EnergyAware,satellite,I,1.4049502739652393,1.598721935251753,0.001,0.001,3.229948,3.227973,5581,20260417_024340
0.25,MAB_Contextual_EnergyAware,satellite,II,0.0069226242868185,0.0447835072033554,0.001,0.001,0.349628,0.001,27167,20260417_024340
0.25,MAB_Contextual_EnergyAware,satellite,III,0.0030544764279967,0.0072599661641188,0.001,0.001,0.033025,0.0275547999999999,6215,20260417_024340
0.25,MAB_Contextual_EnergyAware,UAV,II,0.221518299085764,0.1352804931657458,0.178947,0.001,0.349935,0.3481298,2297,20260417_024340
0.25,MAB_Contextual_EnergyAware,UAV,III,0.0166201363636363,0.0119591447275368,0.018885,0.001,0.03309,0.0310269499999999,7788,20260417_024340
0.25,MAB_Contextual_EnergyAware,UAV,IV,0.3929671713106295,0.2739506208759084,0.3381125,0.001,0.669926,0.66803205,1938,20260417_024340
0.25,MAB_Contextual_EnergyAware,grid,II,0.001,0.0,0.001,0.001,0.001,0.001,4961,20260417_024340
0.25,MAB_Contextual_EnergyAware,grid,III,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,3595,20260417_024340
0.25,MAB_Contextual_EnergyAware,grid,IV,0.001,2.1684043449710093e-19,0.001,0.001,0.001,0.001,3077,20260417_024340
0.25,Federated_MAB_EnergyAware,satellite,I,1.5550930479579734,1.611239480803604,0.001,0.001,3.22987,3.228153,5901,20260417_045323
0.25,Federated_MAB_EnergyAware,satellite,II,0.0093987447432762,0.0531305771614131,0.001,0.001,0.349981,0.001,28630,20260417_045323
0.25,Federated_MAB_EnergyAware,satellite,III,0.0018835958541382,0.0048777816135141,0.001,0.001,0.032965,0.001,6609,20260417_045323
0.25,Federated_MAB_EnergyAware,UAV,II,0.1960942193521934,0.1434533546805668,0.17776,0.001,0.349769,0.3478758,2439,20260417_045323
0.25,Federated_MAB_EnergyAware,UAV,III,0.0140459839167455,0.0121777545275681,0.0175665,0.001,0.033023,0.03085525,8456,20260417_045323
0.25,Federated_MAB_EnergyAware,UAV,IV,0.3404324551792829,0.2833391719803651,0.3372015,0.001,0.669741,0.6678999,2008,20260417_045323
0.25,Federated_MAB_EnergyAware,grid,II,0.001,0.0,0.001,0.001,0.001,0.001,5313,20260417_045323
0.25,Federated_MAB_EnergyAware,grid,III,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,3896,20260417_045323
0.25,Federated_MAB_EnergyAware,grid,IV,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,3103,20260417_045323
0.25,Enhanced_Federated_MAB,satellite,I,3.2172931307588075,0.1623348220644656,3.2254915,0.001,3.229952,3.2286747,5904,20260417_062849
0.25,Enhanced_Federated_MAB,satellite,II,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,26960,20260417_062849
0.25,Enhanced_Federated_MAB,satellite,III,0.001,4.336808689942019e-19,0.001,0.001,0.001,0.001,6348,20260417_062849
0.25,Enhanced_Federated_MAB,UAV,II,0.1687866640429338,0.148870148661875,0.176709,0.001,0.349942,0.3476663,2795,20260417_062849
0.25,Enhanced_Federated_MAB,UAV,III,0.0139374931917551,0.0123693671029495,0.017576,0.001,0.033128,0.0308708,8005,20260417_062849
