Algorithm_1,Algorithm_2,Scenarios,Mean_Diff(A1-A2),Median_Diff(A1-A2),Wins_A1,Wins_A2,Wilcoxon_Statistic,P_Value,Holm_P_Value,Significant_0.05
MAB_Contextual,MAB_Original,36,-0.11719410237528469,-0.009119839265585301,24,0,0.0,1.821529714896801e-05,0.0005100283201711043,True
MAB_Contextual,Popularity,36,-0.1482133019791383,-0.026113394951083002,24,0,0.0,1.821529714896801e-05,0.0005100283201711043,True
Federated_MAB_EnergyAware,MAB_Original,36,-0.1096639819716932,-0.00903845240541075,24,0,0.0,1.821529714896801e-05,0.0005100283201711043,True
Federated_MAB_EnergyAware,Popularity,36,-0.14068318157554682,-0.02660017922043605,24,0,0.0,1.821529714896801e-05,0.0005100283201711043,True
MAB_Contextual_EnergyAware,MAB_Original,36,-0.10570976170157896,-0.0097093229861441,24,0,0.0,1.821529714896801e-05,0.0005100283201711043,True
MAB_Contextual_EnergyAware,Popularity,36,-0.13672896130543258,-0.025895389433853548,24,0,0.0,1.821529714896801e-05,0.0005100283201711043,True
Enhanced_Federated_MAB_EnergyAware,MAB_Original,36,-0.10278960785291504,-0.008795719460156653,24,0,0.0,1.821529714896801e-05,0.0005100283201711043,True
Enhanced_Federated_MAB_EnergyAware,Popularity,36,-0.13380880745676865,-0.0261748821292201,24,0,0.0,1.821529714896801e-05,0.0005100283201711043,True
LRU,Popularity,36,-0.1564694316832386,-0.0005298721341343501,18,6,40.0,0.0016730747221523166,0.03346149444304633,True
MAB_Original,Popularity,36,-0.031019199603853638,0.0,15,9,88.0,0.07648946089689826,1.0,False
MAB_Contextual,LRU,36,0.00825612970410027,-0.00721204395076805,20,4,90.0,0.08647626549366563,1.0,False
LRU,Federated_MAB_EnergyAware,36,-0.015786250107691736,0.006534982723741849,4,20,90.0,0.08647626549366563,1.0,False
LRU,MAB_Contextual_EnergyAware,36,-0.01974047037780599,0.00761429937235115,4,20,90.0,0.08647626549366563,1.0,False
LRU,Enhanced_Federated_MAB_EnergyAware,36,-0.02266062422646993,0.0068844672255524994,4,20,90.0,0.08647626549366563,1.0,False
LRU,Enhanced_Federated_MAB,36,-0.19161823740924933,0.0079440470900645,4,20,90.0,0.08647626549366563,1.0,False
MAB_Original,Enhanced_Federated_MAB,36,-0.06616800532986442,0.0054595549123755,4,20,90.0,0.08647626549366563,1.0,False
Enhanced_Federated_MAB,Popularity,36,0.0351488057260108,-0.009106606857095051,20,4,90.0,0.08647626549366563,1.0,False
Enhanced_Federated_MAB_EnergyAware,Enhanced_Federated_MAB,36,-0.16895761318277946,0.0008731640888215992,5,19,91.0,0.09185084396186832,1.0,False
Federated_MAB_EnergyAware,Enhanced_Federated_MAB,36,-0.17583198730155766,0.0002161091975713507,5,19,93.0,0.10340377676901528,1.0,False
MAB_Contextual,Enhanced_Federated_MAB,36,-0.1833621077051491,0.0,7,17,96.0,0.12286544122931756,1.0,False
MAB_Contextual_EnergyAware,Enhanced_Federated_MAB,36,-0.1718777670314434,2.7538337297350335e-05,6,18,98.0,0.1373547103361862,1.0,False
MAB_Contextual_EnergyAware,Enhanced_Federated_MAB_EnergyAware,36,-0.002920153848663941,0.0,13,11,103.0,0.17931823604537578,1.0,False
MAB_Contextual,Federated_MAB_EnergyAware,36,-0.007530120403591469,0.0,13,11,118.0,0.36056673509747184,1.0,False
LRU,MAB_Original,36,-0.125450232079385,0.0,12,12,128.0,0.5296296702875958,1.0,False
Federated_MAB_EnergyAware,Enhanced_Federated_MAB_EnergyAware,36,-0.006874374118778195,0.0,12,12,129.0,0.5485062355001472,1.0,False
Federated_MAB_EnergyAware,MAB_Contextual_EnergyAware,36,-0.0039542202701142535,0.0,11,13,133.0,0.6271697535393987,1.0,False
MAB_Contextual,Enhanced_Federated_MAB_EnergyAware,36,-0.014404494522369665,0.0,10,14,144.0,0.8638867905449266,1.0,False
MAB_Contextual,MAB_Contextual_EnergyAware,36,-0.011484340673705722,0.0,13,11,149.0,0.9772063994750985,1.0,False
