Content_Type,Category,Algorithm,Rows,Total_Samples,Weighted_Mean_Delay,Weighted_P95_Delay
UAV,II,Enhanced_Federated_MAB,4,11667,0.17624082069083732,0.3477748294163024
UAV,II,MAB_Contextual,4,9907,0.20481838457656198,0.34788210230140304
UAV,II,Federated_MAB_EnergyAware,4,9771,0.20827756667690095,0.34807575324941153
UAV,II,MAB_Contextual_EnergyAware,4,8859,0.209132952026188,0.3479844435489333
UAV,II,Enhanced_Federated_MAB_EnergyAware,4,10328,0.20955692563903944,0.3480202761425252
UAV,II,MAB_Original,4,7705,0.27360591953277086,0.34823579197923427
UAV,II,Popularity,4,7408,0.2757248787796976,0.34819559303455727
UAV,II,LRU,4,7148,0.2768724773363178,0.3482567650251818
UAV,III,Enhanced_Federated_MAB,4,34042,0.015340190823100818,0.03088024468597612
UAV,III,MAB_Contextual,4,33360,0.015501962320143859,0.03096509237410072
UAV,III,Federated_MAB_EnergyAware,4,33964,0.015589147361912583,0.03099540377164056
UAV,III,MAB_Contextual_EnergyAware,4,29980,0.01563196501000662,0.03091958062708467
UAV,III,Enhanced_Federated_MAB_EnergyAware,4,33823,0.0158997178547142,0.030998850450876598
UAV,III,MAB_Original,4,23237,0.023372396006369065,0.03136522691827689
UAV,III,LRU,4,21195,0.023890442274121192,0.03140258663835808
UAV,III,Popularity,4,21486,0.02434364660709295,0.03142302675230382
UAV,IV,Enhanced_Federated_MAB,4,8996,0.33443178779457533,0.6677126509226322
UAV,IV,MAB_Contextual_EnergyAware,4,7120,0.37420180603932585,0.6678860781039327
UAV,IV,Federated_MAB_EnergyAware,4,7953,0.37704393210109394,0.667905150785867
UAV,IV,Enhanced_Federated_MAB_EnergyAware,4,7987,0.37825491548766743,0.6679198943032427
UAV,IV,MAB_Contextual,4,7666,0.39541965053482914,0.6679767873597704
UAV,IV,MAB_Original,4,5868,0.5249810114178596,0.6682779480231765
UAV,IV,LRU,4,5532,0.5259016587129429,0.66820823329718
UAV,IV,Popularity,4,5705,0.5288277658194566,0.6682965135670464
grid,II,Enhanced_Federated_MAB,4,21281,0.001,0.001
grid,II,Enhanced_Federated_MAB_EnergyAware,4,19948,0.001,0.001
grid,II,Federated_MAB_EnergyAware,4,19513,0.001,0.001
grid,II,LRU,4,20580,0.001,0.001
grid,II,MAB_Contextual,4,21879,0.001,0.001
grid,II,MAB_Contextual_EnergyAware,4,18425,0.001,0.001
grid,II,MAB_Original,4,21206,0.001,0.001
grid,II,Popularity,4,22205,0.001,0.001
grid,III,Enhanced_Federated_MAB_EnergyAware,4,14222,0.0009999999999999998,0.0009999999999999998
grid,III,MAB_Original,4,14830,0.0009999999999999998,0.0009999999999999998
grid,III,Enhanced_Federated_MAB,4,14657,0.001,0.001
grid,III,Federated_MAB_EnergyAware,4,13981,0.001,0.001
grid,III,LRU,4,14928,0.001,0.001
grid,III,MAB_Contextual,4,15076,0.001,0.001
grid,III,MAB_Contextual_EnergyAware,4,13107,0.001,0.001
grid,III,Popularity,4,15759,0.001,0.001
grid,IV,Enhanced_Federated_MAB,4,11930,0.001,0.001
grid,IV,Federated_MAB_EnergyAware,4,11304,0.001,0.001
grid,IV,LRU,4,12376,0.001,0.001
grid,IV,MAB_Contextual,4,12454,0.001,0.001
grid,IV,MAB_Contextual_EnergyAware,4,10752,0.001,0.001
grid,IV,MAB_Original,4,12142,0.001,0.001
grid,IV,Popularity,4,12697,0.001,0.001
grid,IV,Enhanced_Federated_MAB_EnergyAware,4,11621,0.0010000000000000002,0.0010000000000000002
satellite,I,LRU,4,22842,1.1132442829874791,3.2277330448866124
satellite,I,MAB_Contextual,4,23714,1.4716981445981279,3.2279488437547443
satellite,I,Federated_MAB_EnergyAware,4,23198,1.5529427771790671,3.228118133826192
satellite,I,MAB_Contextual_EnergyAware,4,21449,1.575740394097627,3.2281178236001673
satellite,I,Enhanced_Federated_MAB_EnergyAware,4,23559,1.614157731312874,3.228092927072456
satellite,I,MAB_Original,4,24011,2.208761676564908,3.228333728645204
satellite,I,Popularity,4,23946,2.251133122442161,3.2284088802472226
satellite,I,Enhanced_Federated_MAB,4,23907,3.2179674722047933,3.2286904638306777
satellite,II,Enhanced_Federated_MAB,4,112864,0.0009999999999999998,0.0009999999999999998
satellite,II,Enhanced_Federated_MAB_EnergyAware,4,111111,0.003036466938466896,0.001
satellite,II,MAB_Contextual,4,112037,0.003918772334139569,0.001
satellite,II,MAB_Contextual_EnergyAware,4,101854,0.004206449751605192,0.0010000000000000002
satellite,II,Federated_MAB_EnergyAware,4,115733,0.004756557956676084,0.001
satellite,II,LRU,4,112987,0.07124853351270494,0.34701021570092133
satellite,II,MAB_Original,4,113925,0.11137760531051127,0.3472463259056396
satellite,II,Popularity,4,114320,0.32093296381210623,0.34859506470083973
satellite,III,Enhanced_Federated_MAB,4,26064,0.001,0.001
satellite,III,Enhanced_Federated_MAB_EnergyAware,4,25877,0.0024575995285387874,0.013822726575723567
satellite,III,Federated_MAB_EnergyAware,4,26359,0.002476738609203646,0.007681651731856269
satellite,III,MAB_Contextual_EnergyAware,4,23338,0.0026445696289312862,0.01993513814379977
satellite,III,MAB_Contextual,4,25617,0.0027041253464495977,0.02064788949525698
satellite,III,MAB_Original,4,26263,0.00976374359364883,0.030396796291360394
satellite,III,LRU,4,25864,0.010104294927312048,0.03090019058536958
satellite,III,Popularity,4,26130,0.028667428740910793,0.03186682852659778
